address, balance, time
terra12hgxnmy2py7kaetg0q5p6yvdd5edr5fpmqcj4q, 5375.874551, 
terra1qvuwv0fj6ah4wsda4u0su83ada2peqxk80s6vh, 5336.449957, 
terra1c0302egyu4yr9h7wtr4hqn6xl9y6pqzjw2tlvy, 5314.150815, 
terra1xkxa3z0gpwtwmqmvpkmr4gq4wlcwa637jzha50, 5274.983335, 
terra1zg0qdl5a9dyj2dhgzf6kp3qe2jnlavrwcuxzc0, 5241.659000, 
terra1enczp0e5tx6p988n5glmfmrzmp0222kvt50mkl, 5193.087384, 
terra1jrzwgc7lg9s7r5fwq4rs3yvjjnshj33dkdkyxf, 5103.161641, 
terra167wh8lwl63qhl2rsqpkya3xyvvwcesy3lavrwg, 4964.169414, 
terra1w6fa9ta2cjsj4tuy6u2ppjhyr2cksf6r4xqsap, 4912.405846, 
terra1tagxzz9pfx5s9ykpwsve49k69msgymer52wpvt, 4802.959930, 
terra1nv6axf76l7rsexkquh9nc0gkq9fjl5eq9tpvq7, 4801.245918, 
terra18dqeta65a9vfsqnz827ey85tuem82w4dph6p6u, 4800.936447, 
terra1330pn3n776ea6emkyfsfd5jkzsukyxqvd7lxrw, 4794.226785, 
terra1wq4p9549fjnp0zfvfw9kurwg2fvuvc4w3h7yk3, 4780.729404, 
terra1harvf4g5q07jx2a368j7laqcpukd7r535ch2ez, 4663.845928, 
terra1w9a6agmgycusrghq7jzrgc90kqh7ftxafcy8sg, 4503.759588, 
terra150ul307np79r9gu0jymwytgfnysqjhrw5ej7u8, 4494.551709, 
terra1sfxzc62m457m3u0h0la9323t489s5ftxyesxva, 4417.461486, 
terra1v24dfcju35jq5ft94r6vxm9c8q5hgs29z3ttfp, 4393.259540, 
terra15shyndjngcyxj3vzvpmd2zks6ffthv0ltvppfn, 4321.213309, 
terra13zy2ank7u5v7z2sxy8dp83qwtxetmhhvqvda86, 4124.074400, 
terra13huy6a34qj2mza2c2cntq95vg93u8x9aag5c6s, 4069.343224, 
terra1q8uv359v8pxdhd3wyz2ynssdpcyhfmfk78ax5z, 4036.876469, 
terra1tqk29nhhve3gc4hww3s2dwwsy8fkfd4tjtl4xy, 3878.596683, 
terra1kaduhn463gzu3gz0q4t78lzdv3p256ydp2xmr5, 3831.918705, 
terra1w60paspukzefquw5ceud7d8fnctqv23y3zfmn6, 3807.473297, 
terra1e5mqk7h4ns6336denve9lyt9cgej66c7lg6chj, 3705.988376, 
terra1ru5f9tumy766zv23gk5xfpdc84adrgdr6v36xa, 3631.144534, 
terra15xzr4dgvyqq48xw5093sc276s3hjw8yslp5y32, 3575.653415, 
terra12hhsdw2hgz0sma6drgumuzp8c8sqp6l569h039, 3530.005833, 
terra10ts9ud75ehmendlt8n3jsmvjllf7l73sfxl30f, 3480.011499, 
terra190m89uwq5zjj55cqpqheqgr5tzq2f3h0n54kkl, 3430.419906, 
terra10hjf222sr736sljwq39s5akky2fqkjq95rexqq, 3325.933884, 
terra1khh36wd2w2gjjcupk6zvmqy0s6g0t00muf7sta, 3225.574311, 
terra15uvcru4cx9tmxnn7watkrz7emv5j5a5p5v2sm8, 3200.000000, 
terra16jfym29e8jd7wswk2kcjjllyf4j6ddknt3wcem, 3166.968587, 
terra1w8nc8ev0ylg97qnj080np4lnljngdvpd90ev63, 3124.833729, 
terra1f0t58c2zcqszcjsjg9k36qv7jmsce48nthn72k, 3100.697961, 
terra18skwd7p28qcujh0653cv030sq3cjtexmav0srh, 3090.449979, 
terra1sq8h88v8uuyuezk54krgcampx6depkferuga2f, 3074.787616, 
terra1et9kexz32rs9rk9mv792jpl92c8tmjgyaqra6n, 3051.398669, 
terra1ytflsvqwvk4qhxguf3xashz33y9skp4re24k9d, 3031.044654, 
terra1xzszhxnh72r92kx568wqdr35sm09f7wuph0dn7, 3004.693885, 
terra15rrr447hdj4pl2a3hzptfv5lvkmts648d004wt, 2871.012040, 
terra1y090ch0mger9ym63kdhr7e0anavlyuqvnsduxv, 2847.862386, 
terra1hved7mzqakw4vgfvmh4qla2ke274afhecvfa3v, 2830.000000, 
terra1p49ur6ut3nvx2dqfmpw2ek39tlkfxw0fkrk5aq, 2800.739314, 
terra14al9rsvkwksnhf5ftkjz5p96akzfk472mmc35q, 2659.606732, 
terra12yvalgzl9rh7zzp5vamxnftc4aqw7jx88feh5h, 2654.942766, 
terra1gzceyhy6hrprhslrn9tjvje5s3kkrzreqemcna, 2621.529269, 
terra1d7wsxqvw6qaj84kmqj7px5el050cg3pkrze5gp, 2588.766474, 
terra1yvkqf3wnqreyw275qtpvt3mnf5g0jh0jqel2er, 2529.727199, 
terra1w2vu04tmkfq28u2360a2qhm5lykmkwzsg7h9k7, 2519.211187, 
terra1xjl059tj7xep2u37ceekrxe0j6pvkqkgwnk6mv, 2507.565256, 
terra10yk35udhc7hngyydyp0nzs858ej0mjts9zcxe2, 2463.676591, 
terra1h8z26nuuspsp7wgrdv900kks5l3e2lffwc8sy8, 2463.137152, 
terra1g4zv9yt3qx6zng7j50g5gsnkr8gquflnpatck5, 2460.142436, 
terra1pm4cykgwfucaprw4v74aqv87j8gcy9m6y27egh, 2392.065666, 
terra1fmcvhwv7d0zfmhr0q3ka2gdrldgfud2fdtz5hz, 2381.398497, 
terra1sfgvh447qnc06p3zmzf42l4fmjs6x0f5g9xrxx, 2370.035721, 
terra1sdg2zf8jj82cy543zc2m8em79zw793zz3laj0u, 2361.659490, 
terra184ug08kzs2h0xhsy7cs7jvmgkme8yf9c8lgsj2, 2301.172169, 
terra1y7hcrp3ufnxukqkq7gerj6rureu23vxwlth0d8, 2279.165237, 
terra15vlmhc7pfmrw3757tsadgk2tgwf373ee0hav4m, 2247.481199, 
terra16na5gpcj80tafv5gycm4gk7garj8jjsgzf3kej, 2242.000390, 
terra1vrksy4e4py3hfjgq74gswnswezk733vm7km2nx, 2237.136442, 
terra1q3j05rfqsy6ddwzhsjnddsmpc7elyvpmdy9c2k, 2224.999216, 
terra14rf2qyxrc397pqe8gmqh9ue7zyhs8rvu8c7nex, 2217.254685, 
terra1t5etngqrxazdum6crhr4gel7srsapsknnpgdas, 2182.228979, 
terra1623r8vhr2xccjalpzjwcn7gtq4upu4j23n80kd, 2165.763582, 
terra1zukcryjvlrd5atqq4tsrrdpkxxvd22yc3ey9fw, 2109.875582, 
terra1egej4pvr3z9a46lqpgavzq4e2t6806kefans80, 2096.223434, 
terra15zcjduavxc5mkp8qcqs9eyhwlqwdlrzy6anwpg, 2089.955882, 
terra1tzdqdanqtk5mey42cmxtgf2ffg90twhcs2rt6f, 2057.443319, 
terra1xgc0pjtt7vkfq98mjdum9ffhnwqf92s8q9rvf5, 2031.302038, 
terra14ccr38gnkh27ct6wx7vldecslcjvahwzavswpf, 2000.267707, 
terra197rmx07mklyjv2qtt8lp39m0kacslc4lpk5p7p, 1992.602267, 
terra1qmjpjdazratn9rl34m68jqhwxr240jwfafcyf9, 1978.853803, 
terra1rwdu4stfa7cy3s88ghpdzl8ntgvekxvwr4ca09, 1962.794420, 
terra15g2jaw4dqm40j6hqgegn374xu79awxlypae9fk, 1948.621851, 
terra1p38qjc0zex39arav0pny5h8ycrrk8jx7q4kpws, 1939.049373, 
terra1wrre425dtpwhr6j9rt8hnqjjs2l30zm82h03vg, 1932.202069, 
terra12rudnqe9my9rv5nhffxltwstrh8dnhtudvvtwu, 1919.980596, 
terra1v694qe87qtcdrnw3edgaju9y93kgfra0sfl7w0, 1897.768566, 
terra18zdrmxh4vwvn8rgv24xpdvfnnm5lk39xeu5sgq, 1882.502942, 
terra1vwze303rcrj7lul2jjstmg6le5jqqffkw7vwgc, 1870.000000, 
terra14fzh42av2fmju3nfmwh7djzjdyrcgh6d0ch2aj, 1866.603548, 
